CÓDIGO,DESCRIÇÃO DE SERVIÇO,UNIDADE,CUSTO UNITÁRIO,REGIÃO,ANO
ED-27091,"LUMINÁRIA COMERCIAL COM ALETAS DE SOBREPOR, PARA QUATRO (4) LÂMPADAS TUBULARES LED 4X18W-ØT8, FORNECIMENTO E INSTALAÇÃO, EXCLUSIVE BASE E LÂMPADA",un,387.61,Região Norte,Planilha
ED-27087,"LUMINÁRIA COMERCIAL COM ALETAS DE SOBREPOR, PARA QUATRO (4) LÂMPADAS TUBULARES LED 4X9W-ØT8, FORNECIMENTO E INSTALAÇÃO, EXCLUSIVE BASE E LÂMPADA",un,261.19,Região Norte,Planilha
ED-27074,"LUMINÁRIA COMERCIAL COM DIFUSOR DE EMBUTIR COMPLETA, PARA DUAS (2) LÂMPADAS TUBULARES LED 2X18W-ØT8, TEMPERATURA DA COR 6500K, FORNECIMENTO E INSTALAÇÃO, INCLUSIVE BASE E LÂMPADA",un,462.16,Região Norte,Planilha
ED-27072,"LUMINÁRIA COMERCIAL COM DIFUSOR DE EMBUTIR COMPLETA, PARA DUAS (2) LÂMPADAS TUBULARES LED 2X9W-ØT8, TEMPERATURA DA COR 6500K, FORNECIMENTO E INSTALAÇÃO, INCLUSIVE BASE E LÂMPADA",un,381.37,Região Norte,Planilha
ED-27076,"LUMINÁRIA COMERCIAL COM DIFUSOR DE EMBUTIR COMPLETA, PARA QUATRO (4) LÂMPADAS TUBULARES LED 4X9W-ØT8, TEMPERATURA DA COR 6500K, FORNECIMENTO E INSTALAÇÃO, INCLUSIVE BASE E LÂMPADA",un,474.67,Região Norte,Planilha
ED-27073,"LUMINÁRIA COMERCIAL COM DIFUSOR DE EMBUTIR, PARA DUAS (2) LÂMPADAS TUBULARES LED 2X18W-ØT8, FORNECIMENTO E INSTALAÇÃO, EXCLUSIVE BASE E LÂMPADA",un,377.22,Região Norte,Planilha
ED-27071,"LUMINÁRIA COMERCIAL COM DIFUSOR DE EMBUTIR, PARA DUAS (2) LÂMPADAS TUBULARES LED 2X9W-ØT8, FORNECIMENTO E INSTALAÇÃO, EXCLUSIVE BASE E LÂMPADA",un,305.59,Região Norte,Planilha
ED-27075,"LUMINÁRIA COMERCIAL COM DIFUSOR DE EMBUTIR, PARA QUATRO (4) LÂMPADAS TUBULARES LED 4X9W-ØT8, FORNECIMENTO E INSTALAÇÃO, EXCLUSIVE BASE E LÂMPADA",un,323.11,Região Norte,Planilha
ED-27068,"LUMINÁRIA COMERCIAL COM DIFUSOR DE SOBREPOR COMPLETA, PARA DUAS (2) LÂMPADAS TUBULARES LED 2X18W-ØT8, TEMPERATURA DA COR 6500K, FORNECIMENTO E INSTALAÇÃO, INCLUSIVE BASE E LÂMPADA",un,468.84,Região Norte,Planilha
ED-27066,"LUMINÁRIA COMERCIAL COM DIFUSOR DE SOBREPOR COMPLETA, PARA DUAS (2) LÂMPADAS TUBULARES LED 2X9W-ØT8, TEMPERATURA DA COR 6500K, FORNECIMENTO E INSTALAÇÃO, INCLUSIVE BASE E LÂMPADA",un,356.11,Região Norte,Planilha
ED-27070,"LUMINÁRIA COMERCIAL COM DIFUSOR DE SOBREPOR COMPLETA, PARA QUATRO (4) LÂMPADAS TUBULARES LED 4X9W-ØT8, TEMPERATURA DA COR 6500K, FORNECIMENTO E INSTALAÇÃO, INCLUSIVE BASE E LÂMPADA",un,553.27,Região Norte,Planilha
ED-27064,"LUMINÁRIA COMERCIAL COM DIFUSOR DE SOBREPOR COMPLETA, PARA UMA (1) LÂMPADA TUBULAR LED 1X18W-ØT8, TEMPERATURA DA COR 6500K, FORNECIMENTO E INSTALAÇÃO, INCLUSIVE BASE E LÂMPADA",un,405.6,Região Norte,Planilha
ED-27062,"LUMINÁRIA COMERCIAL COM DIFUSOR DE SOBREPOR COMPLETA, PARA UMA (1) LÂMPADA TUBULAR LED 1X9W-ØT8, TEMPERATURA DA COR 6500K, FORNECIMENTO E INSTALAÇÃO, INCLUSIVE BASE E LÂMPADA",un,318.04,Região Norte,Planilha
ED-27067,"LUMINÁRIA COMERCIAL COM DIFUSOR DE SOBREPOR, PARA DUAS (2) LÂMPADAS TUBULARES LED 2X18W-ØT8, FORNECIMENTO E INSTALAÇÃO, EXCLUSIVE BASE E LÂMPADA",un,383.9,Região Norte,Planilha
ED-27065,"LUMINÁRIA COMERCIAL COM DIFUSOR DE SOBREPOR, PARA DUAS (2) LÂMPADAS TUBULARES LED 2X9W-ØT8, FORNECIMENTO E INSTALAÇÃO, EXCLUSIVE BASE E LÂMPADA",un,280.33,Região Norte,Planilha
ED-27069,"LUMINÁRIA COMERCIAL COM DIFUSOR DE SOBREPOR, PARA QUATRO (4) LÂMPADAS TUBULARES LED 4X9W-ØT8, FORNECIMENTO E INSTALAÇÃO, EXCLUSIVE BASE E LÂMPADA",un,401.71,Região Norte,Planilha
ED-27063,"LUMINÁRIA COMERCIAL COM DIFUSOR DE SOBREPOR, PARA UMA (1) LÂMPADA TUBULAR LED 1X18W-ØT8, FORNECIMENTO E INSTALAÇÃO, EXCLUSIVE BASE E LÂMPADA",un,363.13,Região Norte,Planilha
ED-27061,"LUMINÁRIA COMERCIAL COM DIFUSOR DE SOBREPOR, PARA UMA (1) LÂMPADA TUBULAR LED 1X9W-ØT8, FORNECIMENTO E INSTALAÇÃO, EXCLUSIVE BASE, REATOR E LÂMPADA",un,280.15,Região Norte,Planilha
ED-13357,"LUMINÁRIA PLAFON REDONDO DE VIDRO JATEADO REDONDO COMPLETA, DIÂMETRO 25 CM, PARA UMA (1) LÂMPADA LED, POTÊNCIA 15W, BULBO A65, FORNECIMENTO E INSTALAÇÃO, INCLUSIVE BASE E LÂMPADA",un,56.6,Região Norte,Planilha
ED-13356,"LUMINÁRIA PLAFON REDONDO DE VIDRO JATEADO REDONDO COMPLETA, DIÂMETRO 25 CM, PARA UMA (1) LÂMPADA LED, POTÊNCIA 9W, BULBO A60, FORNECIMENTO E INSTALAÇÃO, INCLUSIVE BASE E LÂMPADA",un,53.68,Região Norte,Planilha
ED-13355,"LUMINÁRIA PLAFON REDONDO DE VIDRO JATEADO REDONDO, DIÂMETRO 25 CM, PARA UMA (1) LÂMPADA BASE E-27, FORNECIMENTO E INSTALAÇÃO, INCLUSIVE BASE, EXCLUSIVE LÂMPADA",un,42.07,Região Norte,Planilha
ED-49408,"LUMINÁRIA REFLETORA PARA ILUMINAÇÃO PÚBLICA COM LÂMPADA VAPOR DE MERCÚRIO, 2 REFLETORES DE 250W EM POSTE DE CONCRETO COM 9 M DE ALTURA (COMPLETA)",un,1888.5,Região Norte,Planilha
ED-49410,"LUMINÁRIA REFLETORA PARA ILUMINAÇÃO PÚBLICA COM LÂMPADA VAPOR DE MERCÚRIO, 3 REFLETORES DE 400W EM POSTE DE CONCRETO COM 11 M DE ALTURA (COMPLETA)",un,2846.91,Região Norte,Planilha
ED-49409,"LUMINÁRIA REFLETORA PARA ILUMINAÇÃO PÚBLICA COM LÂMPADA VAPOR DE MERCÚRIO, 6 REFLETORES DE 400W EM POSTE DE CONCRETO COM 9 M DE ALTURA (COMPLETA)",un,3709.94,Região Norte,Planilha
ED-49406,"LUMINÁRIA REFLETORA PARA ILUMINAÇÃO PÚBLICA PARA LÂMPADA VAPOR DE MERCÚRIO, SÓDIO E METÁLICA, 1 PÉTALA, POSTE DE AÇO GALVANIZADO COM 10 M DE ALTURA LIVRE (COMPLETA)",un,4755.64,Região Norte,Planilha
ED-49407,"LUMINÁRIA REFLETORA PARA ILUMINAÇÃO PÚBLICA PARA LÂMPADA VAPOR DE MERCÚRIO, SÓDIO E METÁLICA, 2 PÉTALAS, POSTE DE AÇO GALVANIZADO COM 10 M DE ALTURA LIVRE (COMPLETA)",un,5270.4,Região Norte,Planilha
ED-49401,"LUMINÁRIA TIPO DROPS COM BASE SUPORTE GALVANIZADA E GLOBO LEITOSO COMPLETA, PARA UMA (1) LÂMPADA FLUORESCENTE COMPACTA DE 20W, FORNECIMENTO E INSTALAÇÃO, INCLUSIVE BASE E LÂMPADA",un,81.08,Região Norte,Planilha
ED-13354,"LUMINÁRIA TIPO DROPS COM BASE SUPORTE GALVANIZADA E GLOBO LEITOSO COMPLETA, PARA UMA (1) LÂMPADA LED, POTÊNCIA 15W, BULBO A65, FORNECIMENTO E INSTALAÇÃO, INCLUSIVE BASE E LÂMPADA",un,81.79,Região Norte,Planilha
ED-13353,"LUMINÁRIA TIPO DROPS COM BASE SUPORTE GALVANIZADA E GLOBO LEITOSO COMPLETA, PARA UMA (1) LÂMPADA LED, POTÊNCIA 9W, BULBO A60, FORNECIMENTO E INSTALAÇÃO, INCLUSIVE BASE E LÂMPADA",un,78.87,Região Norte,Planilha
ED-49400,"LUMINÁRIA TIPO DROPS COM BASE SUPORTE GALVANIZADA E GLOBO LEITOSO, PARA UMA (1) LÂMPADA BASE E-27, FORNECIMENTO E INSTALAÇÃO, EXCLUSIVE BASE E LÂMPADA",un,57.87,Região Norte,Planilha
ED-49496,"PROJETOR EXTERNO PARA LÂMPADA A VAPOR DE MERCÚRIO , DE IODETO METÁLICO OU DE SÓDIO, COM ÂNGULO REGULÁVEL, COM ALOJAMENTO PARA REATOR, COMPLETO",un,474.32,Região Norte,Planilha
8933,REATOR ELETRÔNICO,,,Região Norte,Planilha
ED-49514,"REATOR ELETRÔNICO, ALTO FATOR DE POTÊNCIA (A.F.P), PARTIDA RÁPIDA, PARA DUAS (2) LÂMPADAS TUBULARES, POTÊNCIA 16W, FORNECIMENTO E INSTALAÇÃO",un,32.48,Região Norte,Planilha
ED-49518,"REATOR ELETRÔNICO, ALTO FATOR DE POTÊNCIA (A.F.P), PARTIDA RÁPIDA, PARA DUAS (2) LÂMPADAS TUBULARES, POTÊNCIA 20W, FORNECIMENTO E INSTALAÇÃO",un,35.04,Região Norte,Planilha
ED-49516,"REATOR ELETRÔNICO, ALTO FATOR DE POTÊNCIA (A.F.P), PARTIDA RÁPIDA, PARA DUAS (2) LÂMPADAS TUBULARES, POTÊNCIA 32W, FORNECIMENTO E INSTALAÇÃO",un,39.64,Região Norte,Planilha
ED-49520,"REATOR ELETRÔNICO, ALTO FATOR DE POTÊNCIA (A.F.P), PARTIDA RÁPIDA, PARA DUAS (2) LÂMPADAS TUBULARES, POTÊNCIA 40W, FORNECIMENTO E INSTALAÇÃO",un,37.92,Região Norte,Planilha
ED-49513,"REATOR ELETRÔNICO, ALTO FATOR DE POTÊNCIA (A.F.P), PARTIDA RÁPIDA, PARA UMA (1) LÂMPADA TUBULAR, POTÊNCIA 16W, FORNECIMENTO E INSTALAÇÃO",un,31.09,Região Norte,Planilha
ED-49517,"REATOR ELETRÔNICO, ALTO FATOR DE POTÊNCIA (A.F.P), PARTIDA RÁPIDA, PARA UMA (1) LÂMPADA TUBULAR, POTÊNCIA 20W, FORNECIMENTO E INSTALAÇÃO",un,29.44,Região Norte,Planilha
ED-49515,"REATOR ELETRÔNICO, ALTO FATOR DE POTÊNCIA (A.F.P), PARTIDA RÁPIDA, PARA UMA (1) LÂMPADA TUBULAR, POTÊNCIA 32W, FORNECIMENTO E INSTALAÇÃO",un,44.35,Região Norte,Planilha
ED-49519,"REATOR ELETRÔNICO, ALTO FATOR DE POTÊNCIA (A.F.P), PARTIDA RÁPIDA, PARA UMA (1) LÂMPADA TUBULAR, POTÊNCIA 40W, FORNECIMENTO E INSTALAÇÃO",un,29.13,Região Norte,Planilha
8934,LÂMPADA E ACESSÓRIOS,,,Região Norte,Planilha
ED-49371,"LÂMPADA COMPACTADA ELETRÔNICA FLUORESCENTE, BASE E27, POTÊNCIA 11W, TENSÃO 110-127V, FORNECIMENTO E INSTALAÇÃO, EXCLUSIVE LUMINÁRIA",un,11.58,Região Norte,Planilha
ED-49372,"LÂMPADA COMPACTADA ELETRÔNICA FLUORESCENTE, BASE E27, POTÊNCIA 15W, TENSÃO 110-127V, FORNECIMENTO E INSTALAÇÃO, EXCLUSIVE LUMINÁRIA",un,12.09,Região Norte,Planilha
ED-49373,"LÂMPADA COMPACTADA ELETRÔNICA FLUORESCENTE, BASE E27, POTÊNCIA 20W, TENSÃO 110-127V, FORNECIMENTO E INSTALAÇÃO, EXCLUSIVE LUMINÁRIA",un,13.82,Região Norte,Planilha
ED-49374,"LÂMPADA COMPACTADA ELETRÔNICA FLUORESCENTE, BASE E27, POTÊNCIA 23W, TENSÃO 110-127V, FORNECIMENTO E INSTALAÇÃO, EXCLUSIVE LUMINÁRIA",un,14.06,Região Norte,Planilha
ED-49370,"LÂMPADA COMPACTADA ELETRÔNICA FLUORESCENTE, BASE E27, POTÊNCIA 9W, TENSÃO 110-127V, FORNECIMENTO E INSTALAÇÃO, EXCLUSIVE LUMINÁRIA",un,11.89,Região Norte,Planilha
ED-13343,"LÂMPADA LED, BASE E27, POTÊNCIA 15W, BULBO A65, TEMPERATURA DA COR 6500K, TENSÃO 110-127V, FORNECIMENTO E INSTALAÇÃO, EXCLUSIVE LUMINÁRIA",un,14.53,Região Norte,Planilha
ED-13344,"LÂMPADA LED, BASE E27, POTÊNCIA 20W, BULBO A70, TEMPERATURA DA COR 6500K, TENSÃO 110-127V, FORNECIMENTO E INSTALAÇÃO, EXCLUSIVE LUMINÁRIA",un,27.61,Região Norte,Planilha
ED-13342,"LÂMPADA LED, BASE E27, POTÊNCIA 9W, BULBO A60, TEMPERATURA DA COR 6500K, TENSÃO 110-127V, FORNECIMENTO E INSTALAÇÃO, EXCLUSIVE LUMINÁRIA",un,11.61,Região Norte,Planilha
ED-49379,LÂMPADA MISTA DE 160W/220V,un,24.18,Região Norte,Planilha
ED-49375,"LÂMPADA TUBULAR FLUORESCENTE, BASE G13, POTÊNCIA 16W, FORNECIMENTO E INSTALAÇÃO, EXCLUSIVE REATOR E LUMINÁRIA",un,16.18,Região Norte,Planilha
ED-49377,"LÂMPADA TUBULAR FLUORESCENTE, BASE G13, POTÊNCIA 20W, FORNECIMENTO E INSTALAÇÃO, EXCLUSIVE REATOR E LUMINÁRIA",un,16.48,Região Norte,Planilha
ED-49376,"LÂMPADA TUBULAR FLUORESCENTE, BASE G13, POTÊNCIA 32W, FORNECIMENTO E INSTALAÇÃO, EXCLUSIVE REATOR E LUMINÁRIA",un,16.8,Região Norte,Planilha
ED-49378,"LÂMPADA TUBULAR FLUORESCENTE, BASE G13, POTÊNCIA 40W, FORNECIMENTO E INSTALAÇÃO, EXCLUSIVE REATOR E LUMINÁRIA",un,16.59,Região Norte,Planilha
ED-9973,"LÂMPADA TUBULAR LED, BASE G13, POTÊNCIA 18W, DIÂMETRO 26MM/T8, TEMPERATURA DA COR 6500K, FORNECIMENTO E INSTALAÇÃO, EXCLUSIVE LUMINÁRIA",un,23.62,Região Norte,Planilha
ED-9974,"LÂMPADA TUBULAR LED, BASE G13, POTÊNCIA 40W, DIÂMETRO 26MM/T8, TEMPERATURA DA COR 6500K, FORNECIMENTO E INSTALAÇÃO, EXCLUSIVE LUMINÁRIA",un,79.58,Região Norte,Planilha
ED-9972,"LÂMPADA TUBULAR LED, BASE G13, POTÊNCIA 9W, DIÂMETRO 26MM/T8, TEMPERATURA DA COR 6500K, FORNECIMENTO E INSTALAÇÃO, EXCLUSIVE LUMINÁRIA",un,19.04,Região Norte,Planilha
ED-49380,"RECEPTÁCULO DE PORCELANA PARA LÂMPADA COM ROSCA E-27, FORNECIMENTO E INSTALAÇÃO",un,9.39,Região Norte,Planilha
8936,DUTO CORRUGADO EM PEAD,,,Região Norte,Planilha
ED-49298,"DUTO CORRUGADO EM PEAD (POLIETILENO DE ALTA DENSIDADE), PARA PROTEÇÃO DE CABOS SUBTERRÂNEOS DN 100 MM (4"")",m,55.51,Região Norte,Planilha
ED-49299,"DUTO CORRUGADO EM PEAD (POLIETILENO DE ALTA DENSIDADE), PARA PROTEÇÃO DE CABOS SUBTERRÂNEOS DN 125 MM (5"")",m,81.57,Região Norte,Planilha
ED-49300,"DUTO CORRUGADO EM PEAD (POLIETILENO DE ALTA DENSIDADE), PARA PROTEÇÃO DE CABOS SUBTERRÂNEOS DN 150 MM (6"")",m,106.63,Região Norte,Planilha
ED-4155,"DUTO CORRUGADO EM PEAD (POLIETILENO DE ALTA DENSIDADE), PARA PROTEÇÃO DE CABOS SUBTERRÂNEOS DN 30 MM (1.1/4"")",m,23.79,Região Norte,Planilha
ED-49295,"DUTO CORRUGADO EM PEAD (POLIETILENO DE ALTA DENSIDADE), PARA PROTEÇÃO DE CABOS SUBTERRÂNEOS DN 40 MM (1.1/2"")",m,24.44,Região Norte,Planilha
ED-49296,"DUTO CORRUGADO EM PEAD (POLIETILENO DE ALTA DENSIDADE), PARA PROTEÇÃO DE CABOS SUBTERRÂNEOS DN 50 MM (2"")",m,25.65,Região Norte,Planilha
ED-49297,"DUTO CORRUGADO EM PEAD (POLIETILENO DE ALTA DENSIDADE), PARA PROTEÇÃO DE CABOS SUBTERRÂNEOS DN 75 MM (3"")",m,40.36,Região Norte,Planilha
8937,ENVELOPAMENTO DE DUTO E ELETRODUTO,,,Região Norte,Planilha
ED-49334,"ENVELOPE DE CONCRETO PARA PROTEÇÃO DE TUBOS DE PVC ENTERRADO - CONCRETO TIPO A FCK = 13,5 MPA",m3,558.35,Região Norte,Planilha
8938,ENTRADA DE ENERGIA,,,Região Norte,Planilha
ED-49440,"ARMAÇÃO SECUNDÁRIA DE UM ESTRIBO, EM AÇO GALVANIZADO, PARA FIXAÇÃO DE ISOLADOR ROLDANA, EXCLUSIVE ISOLADOR, INCLUSIVE INSTALAÇÃO",un,42.28,Região Norte,Planilha
ED-20579,"ENTRADA DE ENERGIA AÉREA, TIPO B1, PADRÃO CEMIG, CARGA INSTALADA DE ATÉ 10KW, BIFÁSICO, COM SAÍDA SUBTERRÂNEA, INCLUSIVE POSTE, CAIXA PARA MEDIDOR, DISJUNTOR, BARRAMENTO, ATERRAMENTO E ACESSÓRIOS",un,2784.39,Região Norte,Planilha
ED-20580,"ENTRADA DE ENERGIA AÉREA, TIPO B2, PADRÃO CEMIG, CARGA INSTALADA DE 10,1KW ATÉ 15KW, BIFÁSICO, COM SAÍDA SUBTERRÂNEA, INCLUSIVE POSTE, CAIXA PARA MEDIDOR, DISJUNTOR, BARRAMENTO, ATERRAMENTO E ACESSÓRIOS",un,2879.97,Região Norte,Planilha
ED-20581,"ENTRADA DE ENERGIA AÉREA, TIPO C1, PADRÃO CEMIG, CARGA INSTALADA DE ATÉ 15KVA, TRIFÁSICO, COM SAÍDA SUBTERRÂNEA, INCLUSIVE POSTE, CAIXA PARA MEDIDOR, DISJUNTOR, BARRAMENTO, ATERRAMENTO E ACESSÓRIOS",un,3234.65,Região Norte,Planilha
ED-20582,"ENTRADA DE ENERGIA AÉREA, TIPO C2, PADRÃO CEMIG, CARGA INSTALADA DE 15,1KVA ATÉ 23KVA, TRIFÁSICO, COM SAÍDA SUBTERRÂNEA, INCLUSIVE POSTE, CAIXA PARA MEDIDOR, DISJUNTOR, BARRAMENTO, ATERRAMENTO E ACESSÓRIOS",un,3307.04,Região Norte,Planilha
ED-20583,"ENTRADA DE ENERGIA AÉREA, TIPO C3, PADRÃO CEMIG, CARGA INSTALADA DE 23,1KVA ATÉ 27KVA, TRIFÁSICO, COM SAÍDA SUBTERRÂNEA, INCLUSIVE POSTE, CAIXA PARA MEDIDOR, DISJUNTOR, BARRAMENTO, ATERRAMENTO E ACESSÓRIOS",un,3345.37,Região Norte,Planilha
ED-20584,"ENTRADA DE ENERGIA AÉREA, TIPO C4, PADRÃO CEMIG, CARGA INSTALADA DE 27,1KVA ATÉ 38KVA, TRIFÁSICO, COM SAÍDA SUBTERRÂNEA, INCLUSIVE POSTE, CAIXA PARA MEDIDOR, DISJUNTOR, BARRAMENTO, ATERRAMENTO E ACESSÓRIOS",un,4330.07,Região Norte,Planilha
ED-20585,"ENTRADA DE ENERGIA AÉREA, TIPO C5, PADRÃO CEMIG, CARGA INSTALADA DE 38,1KVA ATÉ 47KVA, TRIFÁSICO, COM SAÍDA SUBTERRÂNEA, INCLUSIVE POSTE, CAIXA PARA MEDIDOR, DISJUNTOR, BARRAMENTO, ATERRAMENTO E ACESSÓRIOS",un,4697.74,Região Norte,Planilha
ED-20586,"ENTRADA DE ENERGIA AÉREA, TIPO C6, PADRÃO CEMIG, CARGA INSTALADA DE 47,1KVA ATÉ 57KVA, TRIFÁSICO, COM SAÍDA SUBTERRÂNEA, INCLUSIVE POSTE, CAIXA PARA MEDIDOR, DISJUNTOR, BARRAMENTO, ATERRAMENTO E ACESSÓRIOS",un,7324.78,Região Norte,Planilha
ED-20587,"ENTRADA DE ENERGIA AÉREA, TIPO C7, PADRÃO CEMIG, CARGA INSTALADA DE 57,1KVA ATÉ 66KVA, TRIFÁSICO, COM SAÍDA SUBTERRÂNEA, INCLUSIVE POSTE, CAIXA PARA MEDIDOR, DISJUNTOR, BARRAMENTO, ATERRAMENTO E ACESSÓRIOS",un,7420.02,Região Norte,Planilha
ED-20588,"ENTRADA DE ENERGIA AÉREA, TIPO C8, PADRÃO CEMIG, CARGA INSTALADA DE 66,1KVA ATÉ 75KVA, TRIFÁSICO, COM SAÍDA SUBTERRÂNEA, INCLUSIVE POSTE, CAIXA PARA MEDIDOR, DISJUNTOR, BARRAMENTO, ATERRAMENTO E ACESSÓRIOS",un,7450.43,Região Norte,Planilha
ED-20589,"ENTRADA DE ENERGIA AÉREA, TIPO F1, PADRÃO CEMIG, CARGA INSTALADA DE 75,1KVA ATÉ 86KVA, TRIFÁSICO, COM SAÍDA SUBTERRÂNEA, INCLUSIVE POSTE, CAIXA PARA MEDIDOR, DISJUNTOR, BARRAMENTO, ATERRAMENTO E ACESSÓRIOS",un,9668.64,Região Norte,Planilha
ED-20590,"ENTRADA DE ENERGIA AÉREA, TIPO F2, PADRÃO CEMIG, CARGA INSTALADA DE 86,1KVA ATÉ 95KVA, TRIFÁSICO, COM SAÍDA SUBTERRÂNEA, INCLUSIVE POSTE, CAIXA PARA MEDIDOR, DISJUNTOR, BARRAMENTO, ATERRAMENTO E ACESSÓRIOS",un,10340.04,Região Norte,Planilha
ED-20591,"ENTRADA DE ENERGIA SUBTERRÂNEA, TIPO F3, PADRÃO CEMIG, CARGA INSTALADA DE 95,1KVA ATÉ 114KVA, TRIFÁSICO, COM SAÍDA SUBTERRÂNEA, INCLUSIVE POSTE, CAIXA PARA MEDIDOR, DISJUNTOR, BARRAMENTO, ATERRAMENTO E ACESSÓRIOS",un,9812.19,Região Norte,Planilha
ED-20592,"ENTRADA DE ENERGIA SUBTERRÂNEA, TIPO F4, PADRÃO CEMIG, CARGA INSTALADA DE 114,1KVA ATÉ 152KVA, TRIFÁSICO, COM SAÍDA SUBTERRÂNEA, INCLUSIVE POSTE, CAIXA PARA MEDIDOR, DISJUNTOR, BARRAMENTO, ATERRAMENTO E ACESSÓRIOS",un,10000.26,Região Norte,Planilha
ED-20593,"ENTRADA DE ENERGIA SUBTERRÂNEA, TIPO F5, PADRÃO CEMIG, CARGA INSTALADA DE 152,1KVA ATÉ 171KVA, TRIFÁSICO, COM SAÍDA SUBTERRÂNEA, INCLUSIVE POSTE, CAIXA PARA MEDIDOR, DISJUNTOR, BARRAMENTO, ATERRAMENTO E ACESSÓRIOS",un,10999.7,Região Norte,Planilha
ED-20594,"ENTRADA DE ENERGIA SUBTERRÂNEA, TIPO F6, PADRÃO CEMIG, CARGA INSTALADA DE 171,1KVA ATÉ 188KVA, TRIFÁSICO, COM SAÍDA SUBTERRÂNEA, INCLUSIVE POSTE, CAIXA PARA MEDIDOR, DISJUNTOR, BARRAMENTO, ATERRAMENTO E ACESSÓRIOS",un,11686.89,Região Norte,Planilha
ED-20595,"ENTRADA DE ENERGIA SUBTERRÂNEA, TIPO F7, PADRÃO CEMIG, CARGA INSTALADA DE 188,1KVA ATÉ 228KVA, TRIFÁSICO, COM SAÍDA SUBTERRÂNEA, INCLUSIVE POSTE, CAIXA PARA MEDIDOR, DISJUNTOR, BARRAMENTO, ATERRAMENTO E ACESSÓRIOS",un,12157.68,Região Norte,Planilha
ED-20596,"ENTRADA DE ENERGIA SUBTERRÂNEA, TIPO F8, PADRÃO CEMIG, CARGA INSTALADA DE 228,1KVA ATÉ 266KVA, TRIFÁSICO, COM SAÍDA SUBTERRÂNEA, INCLUSIVE POSTE, CAIXA PARA MEDIDOR, DISJUNTOR, BARRAMENTO, ATERRAMENTO E ACESSÓRIOS",un,13117.5,Região Norte,Planilha
ED-20597,"ENTRADA DE ENERGIA SUBTERRÂNEA, TIPO F9, PADRÃO CEMIG, CARGA INSTALADA DE 266,1KVA ATÉ 304KVA, TRIFÁSICO, COM SAÍDA SUBTERRÂNEA, INCLUSIVE POSTE, CAIXA PARA MEDIDOR, DISJUNTOR, BARRAMENTO, ATERRAMENTO E ACESSÓRIOS",un,14112.94,Região Norte,Planilha
ED-49443,"ISOLADOR ROLDANA EM PORCELANA, TENSÃO NOMINAL 1KV, EXCLUSIVE ARMAÇÃO SECUNDÁRIA, INCLUSIVE INSTALAÇÃO",un,10.85,Região Norte,Planilha
8939,CANALETA EM PVC,,,Região Norte,Planilha
ED-49060,"CANALETA EM PVC PARA INSTALAÇÃO ELÉTRICA APARENTE, INCLUSIVE CONEXÕES, DIMENSÕES 20 X 10 MM",m,10.45,Região Norte,Planilha
ED-49061,"CANALETA EM PVC PARA INSTALAÇÃO ELÉTRICA APARENTE, INCLUSIVE CONEXÕES, DIMENSÕES 50 X 20 MM",m,23.95,Região Norte,Planilha
8942,CAIXA DE MEDIÇÃO,,,Região Norte,Planilha
ED-49208,"CAIXA PARA MEDIÇÃO, TIPO CM-10, DIMENSÕES CONFORME PADRÃO CEMIG, EXCLUSIVE DISJUNTOR, INCLUSIVE INSTALAÇÃO",un,2152.77,Região Norte,Planilha
ED-49205,"CAIXA PARA MEDIÇÃO, TIPO CM-14, COM VISOR DO LEITOR PARA VIA PÚBLICA (LVP), DIMENSÕES CONFORME PADRÃO CEMIG, EXCLUSIVE DISJUNTOR, INCLUSIVE INSTALAÇÃO",un,312.98,Região Norte,Planilha
ED-49206,"CAIXA PARA MEDIÇÃO, TIPO CM-18, DIMENSÕES CONFORME PADRÃO CEMIG, EXCLUSIVE BARRAMENTO E DISJUNTOR, INCLUSIVE INSTALAÇÃO",un,3023.31,Região Norte,Planilha
ED-49211,"CAIXA PARA MEDIÇÃO, TIPO CM-18, DIMENSÕES CONFORME PADRÃO CEMIG, EXCLUSIVE DISJUNTOR, INCLUSIVE BARRAMENTO PARA DISJUNTOR DE 1000A ATÉ 1250A E INSTALAÇÃO",un,6392.76,Região Norte,Planilha
ED-49207,"CAIXA PARA MEDIÇÃO, TIPO CM-18, DIMENSÕES CONFORME PADRÃO CEMIG, EXCLUSIVE DISJUNTOR, INCLUSIVE BARRAMENTO PARA DISJUNTOR DE 450A ATÉ 630A E INSTALAÇÃO",un,4813.16,Região Norte,Planilha
ED-49209,"CAIXA PARA MEDIÇÃO, TIPO CM-18, DIMENSÕES CONFORME PADRÃO CEMIG, EXCLUSIVE DISJUNTOR, INCLUSIVE BARRAMENTO PARA DISJUNTOR DE 700A ATÉ 800A E INSTALAÇÃO",un,5627.22,Região Norte,Planilha
ED-20650,"CAIXA PARA MEDIÇÃO, TIPO CM-19, DIMENSÕES CONFORME PADRÃO CEMIG, EXCLUSIVE BARRAMENTO E DISJUNTOR, INCLUSIVE INSTALAÇÃO",un,640.84,Região Norte,Planilha
ED-49212,"CAIXA PARA MEDIÇÃO, TIPO CM-2, DIMENSÕES CONFORME PADRÃO CEMIG, EXCLUSIVE DISJUNTOR, INCLUSIVE INSTALAÇÃO",un,316.23,Região Norte,Planilha
